Index,School Name,School Type,Starting Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career Median Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
101,University of Missouri Rolla,State,57100,67600,80400,95800,122000,166000,39.034179,-94.582141
102,San Jose State University,State,53500,50700,70500,95600,122000,156000,37.336569,-121.880621
103,University of Michigan,State,52700,50900,69400,93000,128000,182000,42.275921,-83.742769
104,Stony Brook University,State,49500,47200,67100,93000,129000,181000,40.91476,-73.12046
105,Rutgers University,State,50300,48100,65100,91800,128000,176000,40.498769,-74.446251
106,Purdue University,State,51400,49900,67400,90500,121000,168000,40.428206,-86.914435
107,University of Connecticut,State,48000,46100,66400,88800,120000,162000,41.809098,-72.249948
108,University of Massachusetts Amherst,State,46600,43100,61300,88200,122000,168000,42.385999,-72.526728
109,California State University Chico,State,47400,46800,62800,88100,122000,154000,39.729712,-121.844859
110,University of Wisconsin Madison,State,48900,47400,62400,87800,118000,170000,43.075409,-89.404098
111,California State University Fullerton,State,45700,45400,62500,87000,119000,158000,33.881506,-117.885446
112,George Mason University,State,47800,51300,67200,86900,114000,150000,38.829976,-77.307428
113,University of Massachusetts Lowell,State,45400,50900,65000,86600,113000,158000,42.652864,-71.326809
114,San Francisco State University,State,47300,45100,62700,86400,114000,150000,37.721224,-122.476799
115,University of Arizona,State,47500,44800,61700,86100,117000,160000,32.232672,-110.950815
116,Clemson University,State,48400,50500,61800,86000,111000,150000,34.679381,-82.835114
117,University of Washington,State,48800,47000,59800,85300,115000,149000,47.65538,-122.30514
118,Michigan State University,State,46300,44200,61500,85300,119000,170000,42.73212,-84.476111
119,University of Rhode Island,State,43900,45400,60100,85300,112000,157000,41.484691,-71.527356
120,San Diego State University,State,46200,45500,61800,85200,116000,158000,32.77525,-117.071228
121,Auburn University,State,45400,45400,62700,84700,109000,145000,32.599378,-85.488258
122,Washington State University,State,45300,43600,59000,84700,113000,162000,46.730448,-117.158168
123,California State University Long Beach,State,45100,47400,62500,84700,113000,154000,33.782818,-118.11204
124,Iowa State University,State,45400,44400,60000,84600,109000,147000,42.026212,-93.648504
125,University of Delaware,State,45900,44500,64000,84500,119000,165000,39.679577,-75.752822
126,University of Colorado Denver,State,46100,46400,58600,84400,105000,144000,39.745149,-104.837722
127,California State University East Bay,State,49200,46000,62400,84300,115000,155000,37.657694,-122.054135
128,State University of New York Farmingdale,State,47300,50200,59800,84200,110000,162000,40.754224,-73.42832
129,University of Minnesota,State,46200,49000,63200,84200,112000,148000,44.972851,-93.235464
130,University of California Santa Cruz,State,44700,46100,62000,84100,121000,165000,36.995584,-122.058801
131,Ohio State University,State,44900,45500,60700,83700,116000,162000,39.999324,-83.014853
132,North Carolina State University,State,47200,49200,64800,83300,112000,153000,35.785111,-78.674517
133,Oregon State University,State,45100,46900,64000,83300,113000,146000,44.56395,-123.274723
134,University of Utah,State,45400,43000,58400,83200,116000,148000,40.762484,-111.846044
135,University of Nevada Reno,State,46500,41900,54600,82900,113000,143000,39.543642,-119.815377
136,University of Oklahoma,State,44700,41200,60300,82900,114000,167000,35.47928,-97.496289
137,University of Arkansas,State,44100,43200,60700,82800,113000,160000,36.070009,-94.176981
138,University of Vermont,State,44800,44700,58000,82700,122000,194000,44.477325,-73.196646
139,University of Alabama Huntsville,State,43100,46100,67800,82700,106000,132000,34.724557,-86.640449
140,California State University Sacramento,State,47800,42900,59600,82400,111000,154000,38.559415,-121.423549
141,University of Idaho,State,44900,43000,56700,82000,104000,142000,46.727406,-117.014167
142,University of Illinois Chicago,State,47500,44700,58800,81700,110000,146000,41.871837,-87.650503
143,State University of New York Buffalo,State,46200,45900,61400,81700,110000,147000,42.933832,-78.882125
144,University of Kansas,State,42400,44800,57200,81600,115000,156000,38.958549,-95.247567
145,University of New Mexico,State,41600,41800,59100,81600,105000,141000,35.083868,-106.620155
146,University of North Carolina Chapel Hill,State,42900,43400,57500,81500,117000,155000,35.911769,-79.050969
147,University of California Riverside,State,46800,37200,59900,81300,109000,134000,33.97246,-117.32741
148,State University of New York Geneseo,State,42300,39300,47600,81300,117000,173000,42.796645,-77.821894
149,University of Missouri Columbia,State,41700,43500,57100,81000,111000,156000,38.94531,-92.328843
150,University of Nebraska,State,45700,42200,56600,80900,113000,156000,41.258769,-96.008516
151,University of Texas Arlington,State,45400,46400,61200,80800,106000,138000,32.729718,-97.11296
152,Northern Illinois University,State,43600,43900,60200,80800,111000,161000,41.933869,-88.766428
153,Oklahoma State University,State,42800,40100,56500,80700,114000,151000,36.123085,-97.069743
154,University of North Dakota,State,44000,43400,56400,80600,111000,157000,47.921654,-97.071738
155,California State University Northridge,State,45500,44500,57800,80400,108000,153000,34.240126,-118.529319
156,University of Houston,State,46000,42000,56200,79900,106000,141000,29.720393,-95.343537
157,New Mexico State University,State,44300,37400,53800,79500,102000,131000,32.281568,-106.752069
158,Lamar University,State,46500,38700,51600,79400,114000,158000,30.042738,-94.072244
159,Mississippi State University,State,44500,43300,58800,79300,108000,151000,33.454852,-88.790139
160,Colorado State University,State,44800,43800,57100,79000,112000,150000,39.608848,-104.898051
161,Kansas State University,State,43300,37200,54100,79000,106000,138000,39.188648,-96.581077
162,University of Wyoming,State,44500,41500,54000,78700,105000,145000,41.311773,-105.57931
163,Utah State University,State,43800,41600,55400,78700,101000,132000,41.740748,-111.81391
164,University of Wisconsin Platteville,State,45800,48400,61200,78500,100000,139000,42.733451,-90.48622
165,University of Oregon,State,42200,38100,56200,78400,117000,186000,44.045146,-123.075792
166,University of Kentucky,State,42800,43000,57300,78300,107000,149000,38.038911,-84.504747
167,University of Massachusetts Boston,State,45600,36300,53800,78200,109000,151000,42.312881,-71.036865
168,University of Maryland Baltimore County,State,47000,46900,59100,77800,105000,130000,39.256686,-76.711607
169,North Dakota State University,State,45100,39000,55800,77800,100000,123000,46.893127,-96.800838
170,State University of New York Oswego,State,38000,40400,53000,77800,115000,169000,43.454287,-76.540798
171,University of Massachusetts Dartmouth,State,43200,43300,56200,77700,107000,132000,41.62869,-71.004552
172,Montana State University Bozeman,State,46600,40200,58100,77500,111000,151000,45.796896,-108.523009
173,State University of New York Oneonta,State,37500,40000,54300,76700,97700,155000,42.468861,-75.063632
174,University of Louisiana Lafayette,State,41100,42000,54500,76300,107000,163000,30.212191,-92.020165
175,State University of New York Plattsburgh,State,40800,38400,54100,76200,105000,136000,44.69293,-73.466536
176,Wayne State University,State,42800,40100,56200,76100,101000,139000,42.358994,-83.068998
177,University of Hawaii,State,43800,40400,56300,76000,104000,128000,21.298598,-157.818979
178,University of Toledo,State,43100,40100,54100,75900,100000,133000,41.660572,-83.614714
179,Florida International University,State,43200,40500,55800,75500,98200,136000,25.75732,-80.373928
180,University of Wisconsin Whitewater,State,40800,38200,53500,75500,99300,150000,42.835563,-88.742368
181,Western Washington University,State,42700,41300,56700,75400,99200,119000,48.737812,-122.485734
182,Minnesota State University Mankato,State,43300,39500,53800,74700,95700,140000,44.146712,-93.99945
183,University of Wisconsin Milwaukee,State,42300,40600,54000,74600,93700,123000,43.076848,-87.880488
184,University of Arkansas Monticello,State,39200,32800,46100,74500,110000,161000,33.590909,-91.811153
185,Penn State Harrisburg,State,45700,44000,53100,74000,104000,150000,40.203766,-76.7423
186,University of North Carolina Charlotte,State,43100,38200,53200,74000,99500,133000,35.306022,-80.730919
187,Georgia State University,State,41800,43000,55300,74000,99900,145000,33.7527,-84.38667
188,Western Michigan University,State,42300,40100,52500,73800,103000,135000,42.282194,-85.613759
189,South Dakota State University,State,41100,34100,49900,73500,99400,129000,44.317485,-96.782139
190,Idaho State University,State,44900,35400,49600,73400,101000,143000,42.863832,-112.432312
191,Illinois State University,State,42000,39100,55200,73400,105000,142000,40.509403,-88.990058
192,Cleveland State University,State,43500,39500,51600,73100,97000,137000,41.502281,-81.674355
193,University of Alaska Anchorage,State,45900,39800,56600,72600,99300,137000,61.190163,-149.82619
194,Fitchburg State College,State,42400,43300,56100,72600,99600,151000,42.588298,-71.789666
195,University of Nebraska Omaha,State,41500,39500,54400,72600,97400,126000,41.258769,-96.008516
196,Southern Illinois University Carbondale,State,43000,38300,51300,72500,99300,139000,37.714193,-89.217273
197,University of Texas El Paso,State,43400,37700,50400,72100,99500,133000,31.77015,-106.504098
198,California State University Dominguez Hills,State,42700,30800,47000,72100,92200,132000,33.864766,-118.255917
199,University Of Maine,State,41200,41700,55600,72100,99300,141000,44.899257,-68.669332
200,Eastern Michigan University,State,40300,37900,52800,72100,95400,135000,42.24694,-83.622501
201,Bowling Green State University,State,39800,38200,51800,72100,101000,146000,41.375513,-83.640896
202,University of Montana,State,37300,37000,51500,71900,96400,138000,46.859312,-113.982912
203,University of Central Florida,State,42600,39500,51500,71700,98400,125000,28.602159,-81.200889
204,University of South Carolina,State,40000,36300,49900,71700,98400,131000,34.717771,-81.621042
205,University of Nevada Las Vegas,State,45200,39000,52400,71600,100000,128000,36.106047,-115.138462
206,St Cloud State University,State,41800,38700,49400,71400,101000,126000,45.553227,-94.152657
207,University of Wisconsin Parkside,State,40700,40900,53100,71400,84900,119000,42.647718,-87.855231
208,California State University Stanislaus,State,38000,33700,50500,71400,94100,121000,37.52577,-120.852511
209,Humboldt State University,State,42600,36000,56300,71300,94400,117000,40.877481,-124.078293
210,Florida Atlantic University,State,42600,40700,53000,71100,99500,137000,26.372421,-80.102978
211,University of South Florida,State,41100,39600,51500,71100,98100,131000,28.061458,-82.413232
212,Portland State University,State,42600,40700,52300,70900,94400,123000,45.511601,-122.686289
213,Eastern Washington University,State,38600,36000,50500,70900,93100,117000,47.490667,-117.583808
214,University of Texas San Antonio,State,42500,39100,49800,70700,92700,121000,29.583709,-98.620657
215,University of Akron,State,41100,40600,53300,70300,95200,127000,41.078551,-81.511679
216,State University of New York Potsdam,State,38000,35100,51200,70300,100000,179000,44.662148,-74.973815
217,University of Alabama Birmingham,State,39200,43000,53400,70100,91400,125000,33.505697,-86.799345
218,University of Memphis,State,41400,36100,49100,69700,93500,127000,35.118878,-89.938068
219,Boise State University,State,40800,37400,48700,69500,87500,110000,43.604284,-116.203301
220,Missouri State University,State,36100,33300,46900,69500,102000,134000,36.729574,-91.857838
221,University of Wisconsin La Crosse,State,42200,37500,47200,69300,93100,133000,43.81568,-91.23186
222,Appalachian State University,State,40400,37200,50400,69100,90800,115000,36.215536,-81.680583
223,Virginia Commonwealth University,State,42000,37400,51900,68400,100000,123000,37.54962,-77.452697
224,University of Wisconsin Stout,State,43600,40900,50600,68300,91600,136000,44.873187,-91.926653
225,East Carolina University,State,40200,38400,52000,67500,98700,151000,35.607186,-77.368291
226,Utah Valley State College,State,42400,27000,44100,67100,84900,110000,40.281078,-111.716456
227,University of Missouri St Louis,State,41400,36800,49600,67100,97600,144000,38.710312,-90.311091
228,Western Carolina University,State,36900,39000,49500,66600,94400,133000,35.308979,-83.186258
229,University of Wisconsin Oshkosh,State,39300,37700,49700,66400,90100,138000,44.026206,-88.549369
230,State University of New York Fredonia,State,37800,32800,44200,66200,93300,181000,42.452236,-79.337375
231,University of Missouri Kansas City,State,38900,36300,48100,65800,95800,124000,39.034179,-94.582141
232,University of Wisconsin Eau Claire,State,41400,35000,47300,64800,93100,125000,44.798284,-91.501906
233,Ball State University,State,39100,35500,48200,64500,89300,128000,40.203431,-85.409043
234,University of North Carolina Wilmington,State,37500,32100,46600,64400,97100,129000,34.225223,-77.875527
235,University of Wisconsin Stevens Point,State,39800,38400,45100,64000,95400,128000,44.529582,-89.570934
236,University of Southern Maine,State,39400,40400,47900,63600,85700,117000,43.662863,-70.274247
237,Arkansas State University,State,38700,33600,45300,63300,83900,118000,35.842388,-90.679988
238,Kent State University,State,38700,36100,45800,62600,87000,124000,41.146653,-81.342533
239,Tarleton State University,State,40800,32100,47400,62400,80400,126000,32.214988,-98.214866
240,University of Wisconsin Green Bay,State,35800,35500,46800,60600,81800,102000,44.532298,-87.919973
241,Morehead State University,State,34800,34300,46500,60600,72000,91300,38.186768,-83.434021
242,Austin Peay State University,State,37700,32200,40500,59200,73900,96200,36.533319,-87.354081
243,Pittsburg State University,State,40400,25600,46000,58200,84600,117000,37.392071,-94.702473
244,Southern Utah University,State,41900,30700,39700,56500,78400,116000,37.674617,-113.070146
245,Montana State University Billings,State,37900,22600,31800,50600,78500,98900,45.796896,-108.523009
246,Black Hills State University,State,35300,27000,32200,43900,60900,87600,44.494889,-103.870966
