School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
Reed College,Liberal Arts,"$40,500.00 ","$81,100.00 ",,"$67,400.00 ","$101,000.00 ",,45.480959,-122.630348
Gustavus Adolphus College,Liberal Arts,"$44,500.00 ","$80,600.00 ",,"$49,300.00 ","$101,000.00 ",,44.323626,-93.972196
Whitman College,Liberal Arts,"$43,500.00 ","$80,100.00 ",,"$64,800.00 ","$111,000.00 ",,46.069815,-118.331546
Ursinus College,Liberal Arts,"$42,100.00 ","$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 ",40.193023,-75.456505
Juniata College,Liberal Arts,"$41,800.00 ","$78,900.00 ",,"$67,200.00 ","$110,000.00 ",,40.500523,-78.017292
Wittenberg University,Liberal Arts,"$39,200.00 ","$78,200.00 ",,"$54,100.00 ","$131,000.00 ",,39.934029,-83.815445
Grinnell College,Liberal Arts,"$42,600.00 ","$76,600.00 ",,"$65,100.00 ","$116,000.00 ",,41.747952,-92.722094
Skidmore College,Liberal Arts,"$41,600.00 ","$74,600.00 ",,"$42,800.00 ","$147,000.00 ",,43.097035,-73.785335
Moravian College,Liberal Arts,"$42,500.00 ","$74,400.00 ",,"$56,700.00 ","$94,900.00 ",,40.630947,-75.383638
Lewis and Clark College,Liberal Arts,"$38,900.00 ","$72,600.00 ","$38,200.00 ","$53,400.00 ","$104,000.00 ","$140,000.00 ",45.450882,-122.669137
Fort Lewis College,Liberal Arts,"$42,000.00 ","$69,800.00 ",,"$55,000.00 ","$94,000.00 ",,37.275939,-107.867422
Thomas Aquinas College,Liberal Arts,"$41,500.00 ","$67,500.00 ",,"$44,600.00 ","$93,100.00 ",,34.429009,-119.087141
Evergreen State College,Liberal Arts,"$39,500.00 ","$63,900.00 ","$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 ",47.07382,-122.977492
Dartmouth College,Ivy League,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 ",43.704115,-72.289949
Princeton University,Ivy League,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 ",40.348732,-74.659365
Yale University,Ivy League,"$59,100.00 ","$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 ",41.311158,-72.926688
Harvard University,Ivy League,"$63,400.00 ","$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 ",42.374471,-71.118313
University of Pennsylvania,Ivy League,"$60,900.00 ","$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 ",39.950929,-75.19391
Cornell University,Ivy League,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 ",42.4472,-76.483084
Brown University,Ivy League,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 ",41.82617,-71.40385
Columbia University,Ivy League,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 ",40.808286,-73.961885
University of California-Berkeley,State,"$59,900.00 ","$112,000.00 ","$59,500.00 ","$81,000.00 ","$149,000.00 ","$201,000.00 ",37.871918,-122.260463
University of Virginia,State,"$52,700.00 ","$103,000.00 ","$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 ",38.035665,-78.503428
Cal Poly San Luis Obispo,State,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 ",35.299513,-120.657311
University of California-Los Angeles,State,"$52,600.00 ","$101,000.00 ","$51,300.00 ","$72,500.00 ","$139,000.00 ","$193,000.00 ",34.068892,-118.443901
University of California-San Diego,State,"$51,100.00 ","$101,000.00 ","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 ",32.877749,-117.235866
University of California-Davis,State,"$52,300.00 ","$99,600.00 ","$52,000.00 ","$71,600.00 ","$135,000.00 ","$202,000.00 ",38.539667,-121.749567
University of Colorado-Boulder,State,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 ",40.008781,-105.270823
University of California-Irvine,State,"$48,300.00 ","$96,700.00 ","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 ",33.648434,-117.841248
University of Illinois-Urbana-Champaign,State,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 ",40.104718,-88.229114
Texas AandM University,State,"$49,700.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 ",30.618726,-96.336475
Binghamton University,State,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 ",42.087868,-75.966889
University of Missouri-Rolla,State,"$57,100.00 ","$95,800.00 ","$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 ",39.034179,-94.582141
San Jose State University,State,"$53,500.00 ","$95,600.00 ","$50,700.00 ","$70,500.00 ","$122,000.00 ","$156,000.00 ",37.336569,-121.880621
University of Maryland-College Park,State,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 ",38.988178,-76.944721
University of California-Santa Barbara,State,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 ",34.416297,-119.846426
University of Texas-Austin,State,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 ",30.282825,-97.738273
University of Michigan,State,"$52,700.00 ","$93,000.00 ","$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 ",42.275921,-83.742769
Stony Brook University,State,"$49,500.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 ",40.91476,-73.12046
State University of New York-Albany,State,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 ",42.685489,-73.824662
Rutgers University,State,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 ",40.498769,-74.446251
Purdue University,State,"$51,400.00 ","$90,500.00 ","$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 ",40.428206,-86.914435
University of Connecticut,State,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 ",41.809098,-72.249948
University of Massachusetts-Amherst,State,"$46,600.00 ","$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 ",42.385999,-72.526728
California State University-Chico,State,"$47,400.00 ","$88,100.00 ","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 ",39.729712,-121.844859
University of Florida,State,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 ",29.64629,-82.347911
University of Wisconsin-Madison,State,"$48,900.00 ","$87,800.00 ","$47,400.00 ","$62,400.00 ","$118,000.00 ","$170,000.00 ",43.075409,-89.404098
Louisiana State University,State,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 ",31.178616,-92.414409
